time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010450750000	12.4383	21.0255	4.91779	3.02938	0.587434	radar	2.51917	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.1925	21.0613	4.92824	3.05443	0.582393	lidar	0.138184	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9551	21.0808	4.92306	3.0854	0.589736	radar	0.937533	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7193	21.0468	4.87731	3.13181	0.609732	lidar	1.87364	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.474	21.0329	4.87213	3.16686	0.614122	radar	1.05915	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2668	21.022	4.79825	3.1985	0.617198	lidar	0.660071	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0129	20.9834	4.81948	3.23744	0.625474	radar	4.1157	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.8113	20.9416	4.73787	3.27643	0.636595	lidar	0.42895	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5677	20.9391	4.68228	3.28021	0.578307	radar	5.65928	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2678	20.9761	4.83608	3.27445	0.533911	lidar	3.67524	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0309	20.9567	4.82885	3.29376	0.523551	radar	1.01358	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.8509	20.914	4.71099	3.32668	0.534487	lidar	1.4966	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.62561	20.9018	4.62412	3.32637	0.48018	radar	1.96888	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.44126	20.8501	4.53858	3.35794	0.49104	lidar	0.632321	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.22936	20.8041	4.53707	3.38417	0.498073	radar	1.42606	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.90817	20.7842	4.74055	3.38029	0.460077	lidar	2.91872	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.70173	20.7014	4.71161	3.4196	0.484712	radar	4.36988	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.40632	20.6239	4.85314	3.4377	0.474288	lidar	3.00396	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.17684	20.5438	4.86728	3.46717	0.485451	radar	0.101569	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.92856	20.4653	4.90458	3.4876	0.480175	lidar	0.125483	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.71165	20.3791	4.92842	3.52154	0.504984	radar	3.44052	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.37764	20.3261	5.12792	3.51103	0.4593	lidar	2.97749	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.13847	20.2323	5.11315	3.53048	0.450448	radar	0.23176	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.87063	20.1488	5.17214	3.54064	0.435017	lidar	0.302216	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
